Account Manager,Rep Name,Account Number,Name,Address,Subscription Date,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Modem Age,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,Churn Date,Latitude,Longitude,Postal Code,Region
66-9184652,Erika Rodriquez,2696-RZVZW,Art Wooder,2 Magdeline Drive,6/25/2016,No,Yes,No,4,Yes,Yes,No,> 4 Years,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.05,1629.2,Yes,11/12/2016,41.8529003,-71.4173062,2904,Rhode Island
75-8051982,Hollie Conway,5766-FTRTS,Daphene Aldrick,68531 Alpine Point,5/14/2017,No,Yes,No,17,Yes,No,DSL,1 - 2 Years,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,84.45,6033.1,No,,41.8292048,-71.4073863,2906,Rhode Island
57-1199545,Braydon Farrington,0396-HUJBP,Manda Greir,26 Northfield Crossing,7/9/2017,No,No,No,15,Yes,No,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.3,44.4,No,,41.8586803,-71.4132309,2904,Rhode Island
10-4398098,Nyah O'Neill,5178-LMXOP,Dominica Hargie,7048 Twin Pines Drive,8/19/2017,Yes,Yes,No,6,Yes,Yes,Fiber optic,> 4 Years,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,95.1,Yes,3/4/2018,41.8609232,-71.4274987,2904,Rhode Island
85-3745646,Shivani Costa,8879-ZKJOF,Hubie Mirfin,40 Di Loreto Center,1/23/2017,No,No,No,21,Yes,No,DSL,1 - 2 Years,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),79.85,3320.75,No,,41.8596515,-71.4228644,2904,Rhode Island
20-9329110,Emil Webber,6285-FTQBF,Noni Ccomini,4 Boyd Junction,3/22/2017,No,Yes,Yes,18,Yes,Yes,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.55,1867.7,Yes,9/30/2018,41.7951469,-71.4206755,2907,Rhode Island
47-2963605,Jaimee Vance,8185-UPYBR,Georgetta Beek,2304 Harbort Crossing,1/4/2018,No,Yes,No,1,Yes,Yes,Fiber optic,> 4 Years,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,438,Yes,1/7/2018,41.8025159,-71.4074382,2905,Rhode Island
76-0195839,Rhia Frame,4585-HETAI,Tracey Robinett,31 Independence Park,3/26/2017,No,Yes,Yes,18,Yes,No,Fiber optic,1 - 2 Years,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.75,325.45,Yes,9/30/2018,41.8072012,-71.4181558,2905,Rhode Island
76-0195839,Rhia Frame,7526-BEZQB,Jack Van Waadenburg,470 Longview Terrace,2/17/2018,No,No,No,3,Yes,Yes,Fiber optic,> 4 Years,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.05,1148.1,Yes,6/8/2018,41.8136387,-71.4382393,2907,Rhode Island
58-8364238,Jenny Hancock,1474-JUWSM,Fons Clemensen,1 Dixon Avenue,8/7/2017,No,Yes,No,14,Yes,Yes,DSL,Less than 1 Year,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,68.4,3972.25,No,,41.8155252,-71.4551333,2909,Rhode Island
13-8653221,Ieuan Whittington,3530-CRZSB,Florenza Newland,5102 Thackeray Court,1/26/2017,No,No,No,21,Yes,No,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.65,155.9,No,,41.8125849,-71.4505803,2909,Rhode Island
51-3249481,Abdur-Rahman Glenn,8498-XXGWA,Morly Pabel,45570 Raven Trail,4/21/2017,No,Yes,No,18,Yes,No,DSL,1 - 2 Years,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,55.15,3673.15,No,,41.816334,-71.43509,2907,Rhode Island
82-7808716,Laila Moses,9617-INGJY,Aretha McFetridge,454 Stephen Drive,3/14/2017,No,No,No,18,Yes,No,Fiber optic,New,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.6,70.6,Yes,9/30/2018,41.8245343,-71.4278573,2909,Rhode Island
66-9184652,Erika Rodriquez,0621-TSSMU,Raymond Tomasi,23 Continental Junction,6/1/2016,No,Yes,No,5,Yes,No,No,> 4 Years,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.95,1126.75,Yes,11/12/2016,41.8234999,-71.4213869,2908,Rhode Island
77-4912526,Ishaaq Armitage,7234-KMNRQ,Ogdan MacFadzan,2 Toban Center,7/22/2017,No,No,No,15,Yes,No,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19,73.45,No,,41.8349003,-71.4401187,2908,Rhode Island
75-8051982,Hollie Conway,7636-PEPNS,Alex Fairfoul,1 Straubel Parkway,6/2/2016,No,Yes,Yes,5,Yes,No,DSL,> 4 Years,No,No,No,No,No,No,One year,Yes,Mailed check,44.1,2413.05,Yes,11/12/2016,41.8214752,-71.4348409,2909,Rhode Island
25-9781941,Cleo Frederick,4683-WYDOU,Natale Fenner,1 Dryden Drive,5/24/2017,No,Yes,No,17,Yes,Yes,Fiber optic,1 - 2 Years,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),107.6,6912.7,No,,41.8452573,-71.4511947,2908,Rhode Island
77-4912526,Ishaaq Armitage,9052-DHNKM,Lutero Santori,9 Birchwood Crossing,6/30/2016,No,No,No,4,Yes,Yes,DSL,> 4 Years,Yes,Yes,No,No,No,No,One year,No,Electronic check,61.55,1581.95,Yes,11/12/2016,41.861649,-71.4352424,2904,Rhode Island
10-4398098,Nyah O'Neill,6794-HKIAJ,Thayne Frank,19260 Kings Parkway,3/20/2017,No,No,No,18,Yes,Yes,Fiber optic,1 - 2 Years,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),90.7,5586.45,Yes,9/30/2018,41.7884154,-71.3988936,2905,Rhode Island
61-8597757,Sonny Vega,5578-NKCXI,Eadmund Varney,9 Havey Place,3/16/2017,No,Yes,Yes,18,Yes,No,Fiber optic,New,Yes,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),99.25,5846.65,Yes,9/30/2018,41.7917463,-71.395154,2905,Rhode Island
78-8973798,Jena Durham,1642-HMARX,Earl Mulrooney,02 Superior Road,6/6/2017,No,Yes,No,16,Yes,Yes,DSL,1 - 2 Years,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,91.7,6424.7,No,,41.793389,-71.3957023,2905,Rhode Island
16-0420024,Ariya Almond,3096-WPXBT,Gena Birtwell,00 Hoard Circle,4/26/2017,No,Yes,Yes,18,Yes,Yes,Fiber optic,1 - 2 Years,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),100.7,6018.65,No,,41.7904665,-71.4019904,2905,Rhode Island
75-8051982,Hollie Conway,8434-PNQZX,Sarina Wadie,71 Drewry Point,5/21/2017,No,No,No,17,Yes,Yes,DSL,1 - 2 Years,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),78.45,3373.4,No,,41.7870347,-71.3993514,2905,Rhode Island
52-1146363,Tori Prentice,5950-AAAGJ,Leah Hext,50123 Graceland Place,1/17/2017,No,No,No,21,Yes,Yes,Fiber optic,Less than 1 Year,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),84.3,1537.9,No,,41.7871695,-71.396667,2905,Rhode Island
57-1199545,Braydon Farrington,4299-OPXEJ,Genny Neesam,163 Anhalt Junction,5/25/2017,No,No,No,17,Yes,No,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.55,1080.55,No,,41.7930513,-71.407749,2905,Rhode Island
17-1938812,Eloise Broadhurst,4951-UKAAQ,Addy Imlin,771 Oriole Place,7/19/2017,No,No,No,6,Yes,Yes,Fiber optic,> 4 Years,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,88.95,355.2,Yes,1/27/2018,41.7933065,-71.4030202,2905,Rhode Island
77-4912526,Ishaaq Armitage,9618-LFJRU,Sheri Pawlett,0543 Erie Court,6/3/2017,No,No,No,16,Yes,No,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.45,82.85,No,,41.7897943,-71.3958527,2905,Rhode Island
87-5056698,Carolyn Walmsley,6693-DJWTY,Armin Fursland,1915 Arapahoe Point,2/28/2017,No,No,Yes,19,Yes,No,DSL,New,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),55.6,2016.45,Yes,9/30/2018,41.7904691,-71.4058761,2905,Rhode Island
25-9781941,Cleo Frederick,0744-GKNGE,Pen Petrie,613 Mariners Cove Crossing,5/25/2017,No,Yes,Yes,17,Yes,Yes,Fiber optic,Less than 1 Year,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),86.8,5327.25,No,,41.7928539,-71.4061412,2905,Rhode Island
61-8597757,Sonny Vega,6447-EGDIV,Sisely Joice,58 Esker Crossing,6/24/2016,No,No,No,4,Yes,No,No,> 4 Years,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.95,683.25,Yes,11/12/2016,41.7875936,-71.3963526,2905,Rhode Island
25-9781941,Cleo Frederick,1167-OYZJF,Rouvin Taffley,5 Dunning Trail,2/12/2017,Yes,Yes,No,19,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.05,1263.05,Yes,9/30/2018,41.7884341,-71.3999932,2905,Rhode Island
58-8364238,Jenny Hancock,2108-YKQTY,Sidonia Heiss,4 Lakewood Drive,5/4/2018,No,No,No,1,Yes,No,DSL,> 4 Years,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),50.7,151.3,Yes,5/14/2018,41.788918,-71.3973974,2905,Rhode Island
42-2956742,Rahim Glover,4806-DXQCE,Marylou Osselton,5 Barnett Park,4/22/2017,Yes,Yes,No,18,Yes,Yes,Fiber optic,1 - 2 Years,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,113.65,7714.65,No,,41.7896236,-71.3955693,2905,Rhode Island
82-7808716,Laila Moses,4918-QLLIW,Ancell Sorsby,9 Alpine Pass,5/27/2017,No,No,No,17,Yes,No,DSL,Less than 1 Year,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),53.4,188.7,No,,41.7899325,-71.4001947,2905,Rhode Island
47-2963605,Jaimee Vance,7056-IMHCC,Sheppard Kinastan,247 Sundown Junction,6/19/2017,Yes,Yes,No,16,Yes,Yes,Fiber optic,Less than 1 Year,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.9,5549.4,No,,41.7907869,-71.4027925,2905,Rhode Island
73-9095501,Floyd Black,4854-SSLTN,Calli Munnion,221 Morning Hill,8/11/2017,No,Yes,Yes,14,Yes,No,DSL,Less than 1 Year,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,59.5,130.5,No,,41.7898568,-71.4006233,2905,Rhode Island
13-8653221,Ieuan Whittington,5294-DMSFH,Locke Mangham,1043 Memorial Road,6/7/2016,No,Yes,Yes,5,Yes,No,Fiber optic,> 4 Years,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),87.8,2621.75,Yes,11/12/2016,41.7901268,-71.3991623,2905,Rhode Island
58-8364238,Jenny Hancock,4837-PZTIC,Rachael Corneliussen,326 Randy Plaza,6/16/2016,No,No,No,4,No,No phone service,DSL,1 - 2 Years,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,41.9,1875.25,Yes,11/12/2016,41.7905399,-71.4015972,2905,Rhode Island
66-9184652,Erika Rodriquez,1625-JAIIY,Tam De Francesco,5895 Troy Plaza,3/14/2018,No,Yes,Yes,1,Yes,Yes,Fiber optic,> 4 Years,No,No,No,No,Yes,No,One year,Yes,Electronic check,83,5685.8,Yes,3/23/2018,41.8177687,-71.4684051,2909,Rhode Island
77-4912526,Ishaaq Armitage,0603-OLQDC,Yard Cazalet,2291 Buhler Park,1/3/2017,No,No,Yes,21,Yes,No,DSL,Less than 1 Year,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,69.85,837.5,No,,41.8468191,-71.4524944,2908,Rhode Island
10-4398098,Nyah O'Neill,3272-VUHPV,Gui Mariet,64 Chive Court,4/23/2017,No,Yes,Yes,18,Yes,No,DSL,Less than 1 Year,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),56.3,401.5,No,,41.8540075,-71.4321833,2904,Rhode Island
10-4398098,Nyah O'Neill,4176-FXYBO,Reynold Andor,2330 Johnson Place,6/27/2016,No,Yes,No,4,Yes,Yes,Fiber optic,1 - 2 Years,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,109.55,6118.95,Yes,11/12/2016,41.8160945,-71.4443499,2909,Rhode Island
50-8904668,Marsha Lester,1063-DHQJF,Keri Godmar,398 Bay Point,6/1/2017,No,Yes,Yes,17,Yes,No,Fiber optic,Less than 1 Year,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,92.15,6480.9,No,,41.8391416,-71.4423308,2908,Rhode Island
83-8467671,Naima Clements,8663-UPDGF,Vernon Tringham,05 Rieder Way,3/7/2017,No,No,No,18,Yes,Yes,DSL,New,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.5,1800.05,Yes,9/30/2018,41.7910898,-71.3940086,2905,Rhode Island
76-0195839,Rhia Frame,6719-FGEDO,Arri Snasel,216 Eagle Crest Road,6/24/2016,No,Yes,No,4,Yes,Yes,Fiber optic,1 - 2 Years,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),97,7104.2,Yes,11/12/2016,41.786827,-71.3973069,2905,Rhode Island
87-5056698,Carolyn Walmsley,1837-YQUCE,Harley Piris,8666 Mesta Center,2/6/2017,No,No,No,19,No,No phone service,DSL,1 - 2 Years,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),58.35,4214.25,Yes,9/30/2018,41.7869027,-71.4031856,2905,Rhode Island
20-9329110,Emil Webber,2947-DOMLJ,James Dunstan,00 Karstens Plaza,7/25/2017,No,No,Yes,3,Yes,No,DSL,> 4 Years,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.6,50.6,Yes,10/27/2017,41.7871231,-71.4029212,2905,Rhode Island
24-5250647,Derry Daniel,4112-LUEIZ,Doy Rumsby,62 Clemons Circle,4/5/2017,No,No,No,18,Yes,No,Fiber optic,Less than 1 Year,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.5,863.1,No,,41.8006918,-71.406906,2905,Rhode Island
51-3249481,Abdur-Rahman Glenn,0369-ZGOVK,Anna-maria Swendell,761 Kenwood Trail,5/11/2017,No,Yes,Yes,17,Yes,No,Fiber optic,Less than 1 Year,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),70.4,1992.2,No,,41.7917488,-71.3982732,2905,Rhode Island
57-1199545,Braydon Farrington,4510-HIMLV,Edgard Le Claire,78719 Alpine Alley,1/2/2018,No,No,No,3,Yes,No,Fiber optic,> 4 Years,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.8,69.8,Yes,5/1/2018,41.7880888,-71.4018454,2905,Rhode Island
57-1199545,Braydon Farrington,9919-KNPOO,Letti Eich,35 Trailsway Point,3/26/2017,No,Yes,No,18,Yes,Yes,Fiber optic,New,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.3,1948.35,Yes,9/30/2018,41.7889005,-71.4006473,2905,Rhode Island
98-3691700,Dexter Dawe,8749-JMNKX,Ernestine Hannabuss,428 Pierstorff Hill,7/7/2017,Yes,Yes,No,3,Yes,Yes,Fiber optic,1 - 2 Years,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.8,4750.95,Yes,10/13/2017,41.7918262,-71.3972258,2905,Rhode Island
52-1146363,Tori Prentice,7872-BAAZR,Karole Dryden,9828 Novick Road,5/7/2017,No,Yes,Yes,17,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.55,1007.9,No,,41.7915862,-71.3960115,2905,Rhode Island
13-8653221,Ieuan Whittington,9391-LMANN,Byran Greves,231 Artisan Alley,3/6/2017,No,No,Yes,18,Yes,No,Fiber optic,1 - 2 Years,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,95.95,5036.9,Yes,9/30/2018,41.7900964,-71.4005518,2905,Rhode Island
42-3903575,Claudia Todd,2430-USGXP,Rochester Clere,6 Mosinee Place,6/10/2017,No,Yes,No,3,Yes,Yes,Fiber optic,1 - 2 Years,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.05,2391.8,Yes,10/8/2017,41.790672,-71.3974515,2905,Rhode Island
10-4398098,Nyah O'Neill,8174-TBVCF,Missy Wildman,682 Thackeray Terrace,6/7/2016,No,Yes,No,5,Yes,Yes,DSL,1 - 2 Years,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),94.8,6859.05,Yes,11/12/2016,41.7925013,-71.4064993,2905,Rhode Island
58-8364238,Jenny Hancock,1698-XFZCI,Shay Bruster,3 La Follette Way,7/19/2017,No,No,No,15,Yes,Yes,Fiber optic,1 - 2 Years,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,107.75,6521.9,No,,41.7940086,-71.4054888,2905,Rhode Island
42-2956742,Rahim Glover,1877-HKBQX,Timotheus Eckart,4957 Thierer Drive,3/1/2017,No,No,No,18,Yes,No,DSL,New,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,54.6,617.85,Yes,9/30/2018,41.7936769,-71.405097,2905,Rhode Island
61-8597757,Sonny Vega,4450-DLLMH,Bernetta McGiff,13083 Monica Hill,3/5/2017,No,No,No,18,Yes,No,Fiber optic,New,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),71.3,157.75,Yes,9/30/2018,41.7981711,-71.4050697,2905,Rhode Island
58-8364238,Jenny Hancock,0428-AXXLJ,Hedwiga Simmans,2338 Calypso Hill,3/15/2017,No,No,No,18,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.5,516.3,Yes,9/30/2018,41.7991234,-71.4053255,2905,Rhode Island
61-8597757,Sonny Vega,2746-DIJLO,Barri Stowell,61 Holy Cross Crossing,5/12/2017,No,No,No,17,Yes,Yes,DSL,Less than 1 Year,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),56.3,2364,No,,41.8464705,-71.3977497,2906,Rhode Island
10-8807007,Alec Wilks,5955-ERIHD,Marian Ferson,9 Express Plaza,4/17/2018,No,Yes,No,1,Yes,Yes,Fiber optic,> 4 Years,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.7,1687.95,Yes,5/6/2018,41.8313085,-71.3997103,2906,Rhode Island
73-9095501,Floyd Black,0917-EZOLA,Ramon Duetsche,095 Buhler Place,3/25/2017,Yes,Yes,No,6,Yes,Yes,Fiber optic,1 - 2 Years,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.15,7689.95,Yes,10/10/2017,41.8389138,-71.4054099,2906,Rhode Island
20-9329110,Emil Webber,3508-VLHCZ,Abby Tabard,4 Gateway Drive,8/21/2017,No,Yes,Yes,14,Yes,Yes,DSL,1 - 2 Years,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.55,6239.05,No,,41.8589828,-71.4196003,2904,Rhode Island
83-8467671,Naima Clements,4086-ATNFV,Vanya Jandac,36 Marquette Place,5/21/2017,No,Yes,Yes,17,Yes,No,DSL,1 - 2 Years,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,60.8,2042.05,No,,41.7879642,-71.4279692,2905,Rhode Island
17-1938812,Eloise Broadhurst,0468-YRPXN,Dulciana Benneton,3 Pennsylvania Crossing,1/8/2017,No,No,No,21,Yes,No,Fiber optic,1 - 2 Years,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.8,2807.1,No,,41.792256,-71.4238318,2907,Rhode Island
10-4398098,Nyah O'Neill,5996-NRVXR,Theo Maiden,7116 Monica Court,1/7/2017,Yes,Yes,No,21,Yes,No,Fiber optic,1 - 2 Years,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),98.15,4116.8,No,,41.8103268,-71.4469271,2909,Rhode Island
87-5056698,Carolyn Walmsley,3739-YBWAB,Norma Fowlie,865 Harper Way,3/2/2017,No,Yes,No,18,No,No phone service,DSL,1 - 2 Years,Yes,No,Yes,No,No,No,One year,No,Mailed check,35.35,1317.95,Yes,9/30/2018,41.7983005,-71.423655,2907,Rhode Island
20-9329110,Emil Webber,7047-FWEYA,Reena Brandolini,31 Ludington Pass,6/2/2017,No,Yes,No,17,Yes,Yes,Fiber optic,Less than 1 Year,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,103.15,4594.65,No,,41.8020151,-71.4343397,2907,Rhode Island
50-8904668,Marsha Lester,2000-MPKCA,Alexandra Keri,62 Mariners Cove Hill,2/24/2017,No,No,No,19,Yes,Yes,Fiber optic,1 - 2 Years,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,107.75,6332.75,Yes,9/30/2018,41.8067654,-71.464791,2909,Rhode Island
77-4912526,Ishaaq Armitage,9762-YAQAA,Crissy Smaridge,387 Springs Parkway,1/1/2017,No,No,No,22,Yes,Yes,Fiber optic,Less than 1 Year,No,Yes,No,No,No,No,One year,No,Credit card (automatic),81.4,3213.75,No,,41.8103041,-71.4195495,2901,Rhode Island
42-3903575,Claudia Todd,5949-EBSQK,Reece Bowstead,56 Straubel Avenue,1/18/2018,No,Yes,Yes,4,Yes,No,DSL,> 4 Years,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),61.45,229.55,Yes,5/31/2018,41.8125746,-71.4573641,2909,Rhode Island
69-0108929,Kelsea Esquivel,5473-KHBPS,Betsey Ulyet,3160 Westport Junction,2/25/2017,No,Yes,Yes,19,Yes,Yes,Fiber optic,1 - 2 Years,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),95.7,4976.15,Yes,9/30/2018,41.813886,-71.4370729,2907,Rhode Island
24-5250647,Derry Daniel,0100-DUVFC,Carolee Patman,4172 Pine View Point,2/4/2017,Yes,Yes,No,19,Yes,Yes,Fiber optic,1 - 2 Years,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.8,7308.95,Yes,9/30/2018,41.8279759,-71.458174,2908,Rhode Island
66-9184652,Erika Rodriquez,5397-TUPSH,Melessa O'Hannigan,1015 Village Green Lane,6/9/2016,Yes,Yes,No,5,Yes,No,Fiber optic,> 4 Years,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),70.95,4555.2,Yes,11/12/2016,41.8274627,-71.4593014,2909,Rhode Island
42-2956742,Rahim Glover,8950-MTZNV,Ailene Dartan,3188 Dennis Street,2/16/2017,No,No,No,19,Yes,No,DSL,New,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.95,44.95,Yes,9/30/2018,41.8154354,-71.4200948,2903,Rhode Island
20-9329110,Emil Webber,0326-VDYXE,Mikaela Learmond,6 Buena Vista Way,1/19/2017,No,Yes,No,21,Yes,Yes,Fiber optic,1 - 2 Years,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,97.65,6982.5,No,,41.816994,-71.4688568,2909,Rhode Island
82-7808716,Laila Moses,6773-LQTVT,Elmira McLeoid,864 Erie Alley,7/1/2017,Yes,Yes,Yes,16,No,No phone service,DSL,1 - 2 Years,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,35.65,1025.15,No,,41.8402041,-71.4314638,2908,Rhode Island
24-5250647,Derry Daniel,7274-RTAPZ,Reggie Farington,6 Center Crossing,5/21/2017,No,No,No,3,Yes,No,Fiber optic,> 4 Years,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.55,90.55,Yes,8/31/2017,41.8225554,-71.4233069,2909,Rhode Island
47-2963605,Jaimee Vance,0436-TWFFZ,Jenifer Stilling,38 Manufacturers Trail,7/14/2017,No,No,No,15,Yes,Yes,DSL,1 - 2 Years,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,85.25,5714.2,No,,41.8240892,-71.4310562,2909,Rhode Island
57-1199545,Braydon Farrington,8566-YPRGL,Margarette Tithacott,178 Esker Alley,6/18/2017,No,No,No,16,Yes,No,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.5,19.5,No,,41.8243515,-71.408686,2903,Rhode Island
51-3249481,Abdur-Rahman Glenn,0311-UNPFF,Mata Shave,0015 Ohio Point,5/17/2018,No,No,No,1,Yes,No,Fiber optic,> 4 Years,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),88.8,2274.35,Yes,5/23/2018,41.8336514,-71.4278651,2908,Rhode Island
16-0420024,Ariya Almond,6609-MXJHJ,Allister Skinner,90973 Florence Place,3/29/2017,No,Yes,Yes,18,Yes,Yes,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,25.1,789.55,Yes,9/30/2018,41.83584,-71.4299782,2908,Rhode Island
98-3691700,Dexter Dawe,2669-OIDSD,Fields Winmill,35083 Westport Court,2/14/2017,No,Yes,No,19,Yes,No,Fiber optic,1 - 2 Years,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.05,4834,Yes,9/30/2018,41.8473177,-71.4520438,2908,Rhode Island
83-8467671,Naima Clements,8400-WZICQ,Nick Keymar,07295 Shelley Pass,1/4/2017,No,Yes,Yes,21,Yes,No,DSL,Less than 1 Year,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,55.7,3131.8,No,,41.8472882,-71.4388618,2908,Rhode Island
76-0195839,Rhia Frame,3834-XUIFC,Wilek De Witt,45405 Marquette Crossing,3/24/2018,No,No,No,2,Yes,Yes,Fiber optic,> 4 Years,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,85.2,602.55,Yes,6/16/2018,41.8275889,-71.4550624,2909,Rhode Island
24-5250647,Derry Daniel,9576-SYUHJ,Sax Edgerley,2 Ruskin Parkway,1/21/2017,No,No,No,21,Yes,Yes,Fiber optic,Less than 1 Year,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.15,3369.25,No,,41.8242451,-71.4578421,2909,Rhode Island
77-4912526,Ishaaq Armitage,0410-IPFTY,Barbey Pettipher,564 Rockefeller Park,2/14/2017,No,Yes,No,19,Yes,No,Fiber optic,New,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),83.85,2674.15,Yes,9/30/2018,41.8049483,-71.4384168,2907,Rhode Island
77-4912526,Ishaaq Armitage,2831-EBWRN,Evey Vickar,1770 Di Loreto Plaza,8/8/2017,No,No,No,14,Yes,No,DSL,Less than 1 Year,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.9,199.75,No,,41.8117269,-71.4158276,2905,Rhode Island
